gene	label	family	pLI	LOEUF	mis_z	paralog_count
GPR179	LOF	PF00003	4.9425e-14	0.965	2.0424	1
GREB1L	LOF	PF20692	1.0	0.125	5.6894	1
GRHL3	LOF	PF04516	0.99994	0.4	1.7162	5
GRIA2	LOF	PF01094	1.0	0.15	5.4873	17
GRIA3	LOF	PF01094				17
GRIN1	LOF	PF01094	0.018437	0.574	6.6523	17
GRIN2A	DN	PF01094	1.0	0.268	3.7232	17
GRIN2B	GOF	PF01094	1.0	0.102	7.3414	17
GRIN2D	GOF	PF01094	0.00072963	0.642	0.38163	17
GRM1	LOF	PF00003	0.99997	0.417	3.65	7
GRM6	LOF	PF00003	3.523e-25	1.229	-1.0445	7
GRN	LOF	PF00396	0.042667	0.59	1.301	0
GRXCR1	LOF	PF00462	9.1796e-09	1.377	-0.20941	2
GTF2H5	LOF	PF06331	0.013389	1.727	0.12883	0
GTPBP3	LOF	PF01926	9.9816e-11	1.112	-0.11545	1
GUCA1A	GOF	PF00036	0.00042868	1.071	0.23167	14
GUCY2C	LOF	PF00211	1.4182e-08	1.118	1.6022	17
GUCY2D	LOF	PF01094	1.1666e-16	0.911	0.020837	17
HACE1	LOF	PF12796	9.83e-05	0.98	2.4336	24
HAMP	LOF	PF06446	0.014111	1.464	0.30782	0
HCFC1	LOF	PF13854				10
HCN4	DN	PF00027	0.14903	0.571	1.2903	17
HDAC4	LOF	PF12203	1.0	0.192	3.7634	10
HDAC8	LOF	PF00850				10
HERC1	LOF	PF00632	1.0	0.33	5.2959	9
HESX1	LOF	PF00046	0.12422	0.84	0.27803	50
HIVEP2	LOF	PF00096	1.0	0.114	3.8277	14
HMBS	LOF	PF01379	0.81406	0.546	1.3249	0
HMX1	LOF	PF00046	0.0021009	1.957	-5.0309	3
HNF1B	LOF	PF04814	1.0	0.239	2.0791	1
HNF4A	LOF	PF00104	0.99921	0.439	2.7153	11
HNRNPH1	LOF	PF00076	1.0	0.111	4.8461	8
HNRNPK	LOF	PF00013	0.99995	0.242	3.3022	12
HNRNPR	LOF	PF18360	1.0	0.129	4.0518	24
HNRNPU	LOF	PF13671	1.0	0.111	3.5117	2
HOXA13	GOF	PF00046	0.98285	0.482	-1.1312	42
HPD	DN	PF00903	8.9816e-08	0.845	1.5213	1
HPRT1	LOF	PF00156				6
HPS1	LOF	PF19036	7.6455e-13	0.879	0.48509	0
HPS5	LOF	PF23756	7.0936e-15	0.797	1.1841	1
HPS6	LOF	PF15702	5.7889e-15	1.146	-0.9146	0
HPSE2	LOF	PF03662	5.9825e-07	0.837	0.61691	1
HR	LOF	PF02373	2.713e-19	0.848	0.15368	3
HRAS	GOF	PF00071	0.017283	0.893	1.4595	35
HS2ST1	LOF	PF03567	0.22814	0.683	1.6723	1
HSD11B1	DN	PF00106	0.002221	0.975	1.7275	13
HSD3B7	LOF	PF01073	5.6859e-14	1.411	1.2739	10
HSPD1	LOF	PF00118	1.0	0.185	2.9068	13
HSPG2	LOF	PF00008	1.3604e-38	0.603	3.4262	27
HYCC1	LOF	PF09790				1
HYDIN	LOF	PF17213	4.5235e-08	0.555	4.6346	2
IARS1	LOF	PF08264	9.6429e-18	0.911	1.005	7
IDS	LOF	PF00884				16
IFIH1	GOF	PF16739	4.5803e-34	1.406	-0.4273	2
IFT122	LOF	PF23381	9.3639e-23	0.811	1.7667	0
IFT140	LOF	PF23383	8.6859e-35	0.972	-0.37778	1
IFT172	LOF	PF24762	1.2319e-29	0.745	2.704	1
IGF1R	LOF	PF00757	1.0	0.393	4.6593	53
IGF2	LOF	PF08365	0.96	0.496	1.269	2
IGFBP7	LOF	PF07679	2.2034e-09	1.812	-1.6341	2
IGSF1	LOF	PF13895				25
IKBKG	LOF	PF16516				1
ILDR1	LOF	PF05624	1.1014e-16	1.103	0.06617	2
IMPG1	LOF	PF01390	3.7401e-20	1.217	-0.011703	1
IMPG2	LOF	PF01390	7.7387e-15	0.773	0.94914	1
INSR	DN	PF00757	0.00015345	0.556	5.4734	53
IQSEC2	LOF	PF16453				15
IRF2BPL	LOF	PF11261	0.90987	0.544	-1.7558	5
IRF6	LOF	PF00605	1.0	0.214	3.8977	8
ITGA8	LOF	PF01839	1.2641e-12	0.801	-0.77047	17
ITGB4	DN	PF03160	8.4149e-40	0.86	2.189	8
ITPR1	DN	PF08709	1.0	0.325	6.2207	5
JAG1	LOF	PF01414	1.0	0.211	5.2977	5
JAK1	GOF	PF18379	1.0	0.168	5.8688	32
JAK3	LOF	PF18379	1.5795e-23	0.933	1.6786	32
JAM3	LOF	PF13927	7.8734e-07	1.003	-0.6781	14
KANSL1	LOF	PF15275	1.0	0.325	0.89624	1
KARS1	LOF	PF00152	8.5776e-09	0.883	-0.47575	4
KCNA1	DN	PF02214	0.0001067	0.935	3.8753	31
KCNA2	LOF	PF02214	0.93925	0.537	5.1746	31
KCNB1	DN	PF02214	1.0	0.309	5.403	31
KCNC1	GOF	PF02214	0.99991	0.363	5.1794	31
KCNE2	GOF	PF02060	0.018093	1.636	0.65933	1
KCNH1	GOF	PF00027	0.81678	0.526	5.079	17
KCNH2	DN	PF00027	0.066807	0.568	2.4976	17
KCNJ10	LOF	PF01007	0.46302	0.676	2.7127	15
KCNJ11	LOF	PF01007	0.0015654	1.074	2.8591	15
KCNJ13	LOF	PF01007	0.62675	0.64	2.1909	15
KCNJ5	DN	PF01007	0.0081482	0.912	2.0231	15
KCNK4	GOF	PF07885	1.7607e-07	1.141	0.40018	14
KCNMA1	GOF	PF03493	1.0	0.331	6.5284	3
KCNN3	GOF	PF02888	0.99999	0.379	4.6144	3
KCNQ1	LOF	PF00520	1.0954e-12	0.915	0.91213	31
KCNQ2	DN	PF00520	1.0	0.295	3.7078	31
KCNQ4	DN	PF00520	0.022475	0.602	1.238	31
KCNQ5	GOF	PF00520	0.99994	0.417	3.1393	31
KCNV2	LOF	PF02214	1.1007e-35	1.964	-5.8358	31
KCTD7	LOF	PF02214	0.0017607	0.902	1.5676	13
KDELR2	LOF	PF00810	0.0025946	1.316	-1.106	2
KDM3B	LOF	PF22989	1.0	0.117	6.2276	3
KDM4B	LOF	PF02373	1.0	0.371	2.9574	10
KDM5B	LOF	PF01388	1.1177e-29	0.858	1.0125	10
KDM5C	LOF	PF01388				10
KDM6A	LOF	PF02373				2
KDM6B	LOF	PF02373	1.0	0.211	1.8332	2
KERA	LOF	PF13516	2.7143e-08	1.284	-0.086142	10
KIF11	LOF	PF00225	1.0	0.184	2.7188	41
KIF14	LOF	PF23313	2.0983e-06	0.65	1.615	41
KIF1A	LOF	PF12473	1.0	0.304	5.035	41
KIF22	GOF	PF12836	4.9453e-17	1.025	0.58711	41
KIF2A	DN	PF22923	0.76117	0.617	2.6011	41
KIF5A	DN	PF00225	1.0	0.315	5.0359	41
KIT	LOF	PF00047	1.0	0.24	4.1661	53
KITLG	GOF	PF02404	0.90378	0.581	1.5682	0
KLF1	DN	PF16832	4.5975e-15	1.777	-1.0124	22
KLHL7	LOF	PF07707	1.0222e-06	0.789	5.0385	54
KMT2A	LOF	PF05965	1.0	0.065	8.7941	19
KMT2B	LOF	PF05965	1.0	0.127	2.7377	19
KMT2D	LOF	PF05965	1.0	0.141	4.7249	19
KMT2E	LOF	PF20826	1.0	0.217	1.4433	1
KMT5B	LOF	PF00856	1.0	0.19	3.7527	1
KRAS	GOF	PF00071	0.99914	0.264	3.0903	35
KRIT1	LOF	PF24521	0.11437	0.69	0.89279	1
KRT1	DN	PF00038	0.00045625	0.7	0.86527	68
KRT10	DN	PF00038	4.9789e-09	0.881	0.27306	68
KRT12	DN	PF00038	7.3555e-09	0.979	1.0629	68
KRT13	DN	PF00038	1.6731e-06	0.905	0.32728	68
KRT14	DN	PF00038	1.4584e-07	0.932	1.301	68
KRT16	DN	PF00038	5.3853e-14	1.178	1.0004	68
KRT17	LOF	PF00038	1.2138e-06	0.871	0.84319	68
KRT2	LOF	PF00038	1.2105e-09	1.0	-0.34681	68
KRT3	DN	PF00038	1.832e-08	0.996	0.10923	68
KRT4	DN	PF00038	1.2573e-13	1.089	0.56154	68
KRT5	LOF	PF00038	0.90196	0.538	1.0035	68
KRT6A	DN	PF00038	6.2076e-05	0.755	0.57996	68
KRT6B	DN	PF00038	4.6738e-07	0.909	0.91601	68
KRT9	DN	PF00038	6.55e-08	0.873	0.73017	68
L1CAM	LOF	PF13882				36
L2HGDH	LOF	PF01266	2.0708e-06	0.872	0.22597	10
LAMA3	LOF	PF00053	6.3654e-45	0.734	2.6539	54
LAMB2	LOF	PF00053	2.2857e-18	0.652	2.8708	54
LAMB3	LOF	PF00053	6.2848e-23	0.829	0.88919	27
LAMC2	LOF	PF00053	1.555e-20	0.797	1.3268	27
LAMP2	LOF	PF01299				3
LARGE1	LOF	PF13896	0.00057297	0.606	2.7128	5
LBR	LOF	PF01222	0.97287	0.499	0.94923	2
LDLR	LOF	PF07645	1.2477e-30	1.091	0.60522	14
LEMD3	LOF	PF03020	0.40017	0.584	-1.2499	2
LGI4	LOF	PF03736	5.8785e-12	1.255	-1.1969	22
LHX4	LOF	PF00046	0.57061	0.589	1.5716	20
LMNA	GOF	PF00038	0.99995	0.412	3.1003	68
LMOD3	LOF	PF03250	3.5031e-07	0.948	-0.34134	6
LMX1B	LOF	PF00046	0.99956	0.409	1.8923	20
LPL	LOF	PF00151	3.1242e-12	1.075	-0.35897	9
LRAT	LOF	PF04970	0.0010654	1.214	0.82317	7
LRBA	LOF	PF02138	0.0099554	0.515	1.3655	7
LRP4	LOF	PF12662	0.010613	0.501	5.2226	14
LRP5	GOF	PF14670	0.9406	0.482	3.7149	14
LRPPRC	LOF	PF01535	2.1588e-11	0.808	-1.9032	0
LRRC56	LOF	PF12799	4.217e-13	1.225	-1.3762	0
LTBP2	LOF	PF00008	1.0051e-11	0.595	1.1725	6
LTBP3	LOF	PF12662	5.15e-23	0.824	0.90009	6
LYSET	LOF	PF15190				0
LYST	LOF	PF02138	3.0923e-06	0.505	4.1055	7
LZTFL1	LOF	PF15294	0.0015497	0.874	1.068	0
LZTR1	LOF	PF00651	4.9915e-132	1.997	-0.53832	10
MAB21L2	LOF	PF03281	0.037864	0.727	3.1238	9
MADD	LOF	PF23629	2.7157e-21	0.721	1.9433	0
MAFB	GOF	PF03131	0.97972	0.469	1.4486	6
MAGEL2	LOF	PF01454			-1.6032	37
MAK	LOF	PF00069	2.738e-11	0.894	1.1039	28
MANBA	LOF	PF02836	2.4023e-10	0.826	0.063106	1
MAOA	LOF	PF01593				7
MAP2K1	GOF	PF00069	0.96737	0.515	3.7569	8
MAP2K2	GOF	PF00069	1.581e-05	0.858	0.6256	8
MAP3K1	LOF	PF21040	1.0	0.355	1.4665	35
MAPKAPK5	LOF	PF00069	0.27844	0.604	1.8547	6
MAT1A	LOF	PF02773	0.062832	0.653	2.3888	1
MAX	LOF	PF00010	0.99819	0.288	1.8678	0
MBOAT7	LOF	PF03062	1.7407e-13	1.229	-0.79685	5
MBTPS2	LOF	PF02163				0
MC2R	LOF	PF00001	0.00082552	1.39	0.74423	18
MCCC1	LOF	PF02785	2.1696e-11	0.819	1.5436	4
MCCC2	LOF	PF01039	1.8706e-10	0.832	0.45938	1
MECP2	LOF	PF01429				1
MED12	LOF	PF09497				1
MED13	LOF	PF06333	1.0	0.13	3.3253	1
MED13L	LOF	PF06333	1.0	0.041	6.2997	1
MED27	LOF	PF11571	1.6864e-06	1.082	1.7299	0
MEF2C	LOF	PF12347	1.0	0.212	4.8294	4
MEFV	LOF	PF13765	2.305e-19	1.147	-1.6136	80
MEGF10	LOF	PF07974	1e-12	0.707	2.0865	3
MEGF8	LOF	PF24981	1.2102e-27	0.696	2.1795	27
MEIS2	LOF	PF05920	1.0	0.255	3.428	13
MEN1	LOF	PF05053	1.0	0.206	4.2012	0
MFRP	LOF	PF00431	2.0484e-27	1.307	-0.95615	35
MFSD8	LOF	PF07690	7.5007e-11	1.005	1.2317	6
MID1	LOF	PF22586				80
MIP	DN	PF00230	0.010148	0.942	1.8738	23
MITF	LOF	PF11851	0.99203	0.482	1.0386	3
MKKS	LOF	PF00118	9.952e-11	1.112	0.52022	13
MKS1	LOF	PF07162	1.0926e-19	0.991	0.89475	2
MLH1	LOF	PF01119	0.00086326	0.639	1.0943	3
MMP21	LOF	PF00045	4.2098e-14	1.22	-0.66149	23
MNX1	LOF	PF00046	0.84711	0.634	-1.1528	0
MOCS1	LOF	PF01967	1.2794e-09	0.887	0.64789	0
MORC2	GOF	PF23327	1.0	0.3	4.4514	1
MPDU1	LOF	PF04193	1.406e-05	0.984	0.73016	1
MPI	LOF	PF01238	9.3378e-10	1.04	0.59212	0
MPV17	LOF	PF04117	1.4056e-10	1.368	0.72753	3
MRAP	LOF	PF15183	0.0032169	1.44	-0.18356	0
MRAS	GOF	PF00071	0.99089	0.444	2.6024	35
MSH2	LOF	PF01624	4.5659e-06	0.672	-2.8782	4
MSH6	LOF	PF01624	7.9694e-20	0.841	-3.8555	4
MSL2	LOF	PF16682	1.0	0.169	3.003	0
MSL3	LOF	PF05712				3
MSX1	LOF	PF00046	0.00066306	1.289	-1.4494	1
MSX2	LOF	PF00046	0.0093402	1.013	0.18263	1
MTFMT	LOF	PF02911	5.42e-12	1.304	-1.0597	0
MTM1	LOF	PF02893				13
MTOR	GOF	PF02259	1.0	0.268	9.505	5
MVK	LOF	PF08544	9.1415e-10	0.985	2.0515	2
MYBPC3	LOF	PF00041	5.3289e-28	0.915	0.10236	11
MYCN	LOF	PF00010	0.99969	0.311	0.08095	2
MYF5	LOF	PF01586	1.6674e-06	1.269	-0.081277	3
MYH3	LOF	PF00063	9.1337e-16	0.604	4.6656	44
MYH8	LOF	PF00063	1.0217e-37	0.783	3.2291	44
MYH9	DN	PF00063	1.0	0.159	6.1402	44
MYLK	LOF	PF16620	1.1732e-12	0.604	3.1672	4
MYO15A	LOF	PF00373	2.3858e-82	0.889	0.29742	44
MYO5A	LOF	PF01843	0.9951	0.461	5.1524	44
MYO7A	LOF	PF21998	2.4072e-62	0.995	0.076546	44
MYOC	DN	PF02191	8.5144e-11	1.343	1.1937	9
MYRF	LOF	PF13888	1.0	0.215	3.5595	1
MYT1L	LOF	PF08474	1.0	0.085	5.5286	5
NAA10	LOF	PF00583				4
NAA15	LOF	PF12569	0.99885	0.438	2.7709	2
NACC1	GOF	PF10523	0.99995	0.329	3.9547	28
NAGLU	LOF	PF05089	2.3821e-09	1.029	0.096459	0
NALCN	LOF	PF00520	2.4439e-10	0.579	6.7689	26
NANS	LOF	PF03102	6.5759e-07	1.053	1.4417	0
NARS2	LOF	PF00152	1.8081e-08	1.253	0.13303	4
NBAS	LOF	PF22913	2.4931e-43	0.761	0.22195	0
NBEA	LOF	PF02138	1.0	0.137	5.4616	7
NDP	LOF	PF00007				0
NDUFA1	LOF	PF15879				0
NDUFA12	LOF	PF05071	3.4682e-05	1.188	0.083702	0
NDUFA6	LOF	PF13233	0.0010099	1.523	0.23712	0
NDUFA8	LOF	PF06747	0.00059673	1.108	0.71795	0
NEB	LOF	PF00880	5.309e-52	0.597	2.2497	4
NEK1	LOF	PF00069	9.1878e-23	0.959	0.90172	8
NEK8	LOF	PF00069	1.7709e-11	0.835	1.8875	16
NEU1	LOF	PF13088	4.2346e-10	1.045	2.2717	3
NF1	LOF	PF13716	0.99946	0.449	8.4243	10
NF2	LOF	PF00769	1.0	0.187	2.853	6
NFE2L2	GOF	PF03131	0.5022	0.575	2.2152	3
NFIA	LOF	PF00859	1.0	0.175	3.628	3
NFIB	LOF	PF00859	1.0	0.3	2.2398	3
NFIX	LOF	PF00859	1.0	0.092	5.3598	3
NHS	LOF	PF15273				3
NIPAL4	LOF	PF05653	4.5525e-05	1.037	1.1053	5
NIPBL	LOF	PF12765	1.0	0.057	6.6991	0
NKX2-1	LOF	PF00046	0.9636	0.522	0.57315	13
NKX2-5	DN	PF00046	0.99954	0.321	0.35138	13
NKX6-2	LOF	PF00046	8.897e-07	1.68	-1.8227	13
NLGN3	LOF	PF00135				13
NLGN4X	LOF	PF00135				13
NLRP2	LOF	PF13516	7.8103e-36	1.232	-1.0505	20
NLRP3	GOF	PF14484	9.769e-06	0.639	3.5159	20
NOD2	GOF	PF00619	2.3754e-22	1.033	0.92884	20
NOG	LOF	PF05806	0.99555	0.367	1.4066	0
NONO	LOF	PF08075				7
NOTCH1	LOF	PF00023	1.0	0.217	3.6962	7
NOTCH2	GOF	PF00023	1.0	0.151	6.0469	7
NOTCH3	GOF	PF00023	1.5089e-07	0.566	1.8748	7
NPHP3	LOF	PF25022	1.4471e-21	0.873	0.91316	5
NPHP4	LOF	PF26015	1.9288e-50	1.183	-0.325	0
NPHS1	LOF	PF08205	1.6386e-26	0.871	1.0229	3
NPHS2	LOF	PF01145	9.7871e-12	1.319	0.04525	4
NPR2	LOF	PF01094	0.44949	0.517	4.5979	17
NPRL2	LOF	PF06218	0.5771	0.564	2.0745	0
NPRL3	LOF	PF24064	0.064111	0.653	0.39418	0
NR0B1	LOF	PF00104				1
NR2E3	LOF	PF00104	7.8371e-15	1.47	-0.87685	11
NR2F1	LOF	PF00104	1.0	0.133	4.6926	11
NR2F2	LOF	PF00104	1.0	0.197	4.2064	11
NR3C1	DN	PF02155	1.0	0.294	3.0576	8
NR3C2	DN	PF00104	1.0	0.268	2.9983	8
NR4A2	LOF	PF00104	1.0	0.093	2.3057	2
NR5A1	DN	PF00104	0.99998	0.314	2.4175	1
NRAS	GOF	PF00071	0.93745	0.55	2.2441	35
NRL	LOF	PF03131	1.863e-11	1.917	-0.57486	6
NRROS	LOF	PF00560	0.10908	0.909	0.92352	22
NSD1	LOF	PF17907	1.0	0.144	5.7561	19
NSD2	LOF	PF17907	1.0	0.139	5.6661	19
NSDHL	LOF	PF01073				10
NUBPL	LOF	PF10609	0.00035866	0.896	-0.40778	2
NUS1	LOF	PF01255	0.99945	0.182	1.0355	0
NYX	LOF	PF13855				22
OCA2	LOF	PF03600	1.9006e-14	0.869	0.96565	5
OCLN	LOF	PF01284	0.016764	0.728	2.0729	5
OCRL	LOF	PF22669				13
OFD1	LOF	PF16045				0
OGT	LOF	PF13844				14
OPA1	LOF	PF00350	0.92269	0.503	2.7012	7
OPA3	LOF	PF07047	0.00025087	1.92	0.53825	0
OPHN1	LOF	PF16746				3
OPN1LW	LOF	PF00001				9
OTC	LOF	PF00185				2
OTOF	LOF	PF00168	5.4095e-65	1.017	1.1131	4
OTX2	DN	PF00046	0.9998	0.324	1.6615	50
PACS1	GOF	PF25332	1.0	0.3	3.883	1
PAFAH1B1	LOF	PF24951	1.0	0.1	3.7117	26
PAK1	GOF	PF00786	0.05959	0.705	3.8202	44
PAK3	GOF	PF00786				57
PALB2	LOF	PF16756	1.2379e-19	0.9	0.8204	0
PARN	LOF	PF04857	0.002465	0.918	-0.2312	2
PAX1	LOF	PF00292	0.00067656	0.86	-2.1968	50
PAX2	LOF	PF00292	0.99743	0.451	1.8762	50
PAX3	LOF	PF00046	0.99985	0.409	1.8017	50
PAX6	LOF	PF00046	1.0	0.226	3.2634	50
PAX8	DN	PF00292	0.99965	0.415	0.63944	50
PAX9	LOF	PF00292	0.99608	0.435	0.92775	50
PBX1	LOF	PF05920	1.0	0.212	4.3043	13
PCCB	LOF	PF01039	0.00011332	0.843	-0.96306	1
PCDH15	LOF	PF00028	8.4349e-24	0.819	-0.14461	61
PCDH19	LOF	PF00028				61
PCNT	LOF	PF10495	1.9599e-84	0.943	-0.4558	1
PCSK9	GOF	PF05922	1.1172e-20	1.25	0.58699	9
PDE4D	DN	PF18100	0.9999	0.403	2.3461	20
PDE6A	LOF	PF01590	5.867e-17	0.888	0.89523	20
PDE6B	GOF	PF01590	7.3529e-27	1.238	-0.08566	20
PDGFRA	GOF	PF07679	1.0	0.264	3.4194	53
PDGFRB	GOF	PF00047	0.93843	0.504	2.8591	53
PDHA1	LOF	PF00676				2
PDYN	DN	PF01160	0.49225	0.769	-0.016187	2
PDZD7	LOF	PF00595	2.6173e-21	1.057	-0.9797	2
PET100	LOF	PF09803	9.3657e-06	1.597	0.11154	0
PEX1	LOF	PF00004	3.6437e-11	0.746	1.6893	5
PEX10	LOF	PF04757	9.5794e-11	1.234	-0.87849	0
PEX12	LOF	PF04757	2.7901e-10	1.218	1.4467	0
PEX16	LOF	PF08610	9.9638e-10	0.957	0.5051	0
PEX19	LOF	PF04614	1.7331e-08	1.066	-0.14804	0
PEX2	LOF	PF04757	1.7994e-05	1.057	0.43329	0
PEX26	LOF	PF07163	0.00037786	0.893	-0.068794	0
PEX6	LOF	PF00004	1.1594e-11	0.799	1.3471	5
PEX7	LOF	PF00400	0.0018388	0.941	-0.56812	9
PGAP2	LOF	PF10277	0.00010679	0.871	1.6257	0
PGAP3	LOF	PF04080	9.5295e-10	1.147	-0.46076	0
PGK1	LOF	PF00162				1
PHACTR1	DN	PF02755	1.0	0.336	3.2031	3
PHEX	LOF	PF01431				6
PHF6	LOF	PF13771				3
PHIP	LOF	PF00439	1.0	0.246	4.4459	2
PHOX2B	DN	PF00046	0.99227	0.349	1.2908	50
PIDD1	LOF	PF00531	4.3995e-26	1.237	-1.6597	31
PIEZO1	LOF	PF12166	3.0062e-100	1.17	-10.0	1
PIEZO2	LOF	PF12166	2.1757e-15	0.563	3.0264	1
PIGA	LOF	PF00534				3
PIGB	LOF	PF03901	0.00032992	1.098	0.011228	2
PIGG	LOF	PF01663	9.856e-20	1.11	0.044817	0
PIGH	LOF	PF10181	0.00031596	1.778	0.28956	0
PIGK	LOF	PF01650	0.011288	1.915	-0.75381	1
PIGL	LOF	PF02585	9.8416e-05	1.239	0.40863	0
PIGN	LOF	PF01663	1.5077e-09	1.46	0.29539	0
PIGO	LOF	PF01663	1.7784e-16	0.89	2.1062	0
PIGS	LOF	PF10510	4.9218e-06	0.76	1.5894	0
PIGV	LOF	PF04188	1.771e-06	0.902	1.4008	0
PIK3CA	GOF	PF00454	1.0	0.221	6.1494	9
PIK3CD	GOF	PF00454	1.0	0.23	6.3956	9
PIK3R2	GOF	PF16454	1.6831e-07	0.76	0.60953	2
PIKFYVE	LOF	PF00118	1.2773e-06	0.523	3.5575	13
PITX1	LOF	PF00046	0.88196	0.575	0.84465	50
PITX2	LOF	PF00046	0.99745	0.41	2.2361	50
PJVK	LOF	PF04598	2.6728e-09	1.174	0.49155	4
PKD1	LOF	PF00059	1.0	0.364	-5.6666	10
PKD2	LOF	PF18109	0.00018979	0.683	1.0272	12
PKHD1	LOF	PF13229	2.8316e-48	0.783	1.7677	36
PLCB1	LOF	PF17787	1.0	0.357	3.7087	14
PLCG2	GOF	PF00168	0.9987	0.461	-0.641	14
PLOD1	LOF	PF03171	5.4923e-15	0.938	1.0078	5
PLP1	LOF	PF01275				2
PLPBP	LOF	PF01168	5.3167e-06	1.049	0.913	0
PNPLA2	LOF	PF01734	2.7218e-09	1.221	-2.1674	4
PNPLA8	LOF	PF01734	0.00092603	0.775	0.27785	0
POC1A	LOF	PF00400	1.0342e-06	0.988	1.266	26
POC1B	LOF	PF00400	2.3222e-07	0.967	0.31956	26
POGZ	LOF	PF03184	1.0	0.198	4.1479	12
POLA1	LOF	PF12254				3
POLE	LOF	PF03104	2.7396e-38	0.75	2.6706	0
POLG	LOF	PF18136	2.1691e-26	0.847	-0.43598	0
POLR1A	LOF	PF04997	0.90613	0.479	4.9844	2
POLR1D	LOF	PF13656	0.0035229	1.63	0.37535	3
POMGNT2	LOF	PF04577	1.3012e-08	1.279	0.95758	1
POMK	LOF	PF07714	9.6147e-07	1.122	0.75433	0
POMT1	LOF	PF02815	7.2486e-26	1.002	1.1362	3
POMT2	LOF	PF02815	3.911e-20	0.944	-0.12705	3
PORCN	LOF	PF03062				5
POU1F1	LOF	PF00046	0.00040797	0.924	0.74965	17
POU3F3	GOF	PF00046	0.95144	0.482	-0.10336	17
POU4F1	LOF	PF00046	0.62594	0.713	1.115	17
PPARG	DN	PF00104	0.21436	0.628	3.1059	18
PPP1R21	LOF	PF10205	3.1806e-19	1.029	-2.6565	0
PPP2CA	DN	PF00149	0.99995	0.315	5.568	12
PPP2R1A	DN	PF02985	1.0	0.345	5.4265	2
PPP2R5D	DN	PF01603	1.0	0.234	4.916	4
PPP3CA	GOF	PF00149	1.0	0.243	4.5031	12
PRCD	LOF	PF15201	1.2465e-05	1.841	0.42188	0
PRIM1	LOF	PF01896	0.00079834	0.824	1.2394	0
PRKAR1A	GOF	PF00027	1.0	0.158	4.1536	4
PRNP	DN	PF00377	0.00032327	1.036	1.4439	0
PROM1	LOF	PF05478	1.2262e-27	1.104	-1.0319	1
PROP1	LOF	PF00046	0.013593	0.87	0.36634	50
PRPF31	LOF	PF01798	1.0	0.347	3.3838	0
PRPF4	DN	PF08799	1.0	0.294	2.8975	0
PRPH2	LOF	PF00335	0.0060809	0.773	0.58257	32
PRPS1	LOF	PF14572				4
PRRT2	LOF	PF04505	0.65632	0.633	-0.24908	4
PRSS1	GOF	PF00089	2.2086e-08	1.301	-1.5604	3
PRSS56	LOF	PF00089	3.8589e-16	1.11	-1.1646	1
PRUNE1	LOF	PF01368	5.9061e-05	0.902	1.7048	0
PSEN1	GOF	PF01080	0.99951	0.425	3.1063	1
PSEN2	GOF	PF01080	3.9828e-07	0.85	1.3643	1
PSTPIP1	DN	PF00611	5.9235e-26	1.42	-1.6926	5
PTCH1	LOF	PF12349	1.0	0.146	3.1493	10
PTDSS1	GOF	PF03034	5.0589e-08	0.776	2.9334	1
PTEN	LOF	PF10409	0.048668	0.685	4.1195	6
PTH	LOF	PF01279	0.047138	1.32	0.56473	0
PTH1R	LOF	PF00002	0.00019329	0.667	1.9767	42
PTHLH	LOF	PF01279	0.92926	0.558	0.32316	0
PTPN11	GOF	PF00017	1.0	0.156	4.9526	35
PUF60	LOF	PF00076	1.0	0.295	4.927	24
PURA	LOF	PF04845	0.99996	0.138	4.4455	2
PXDN	LOF	PF03098	1.9752e-10	0.677	1.5421	5
PYROXD1	LOF	PF07992	3.8839e-05	1.107	1.0218	7
QRICH1	LOF	PF12012	1.0	0.261	3.7909	18
RAB11B	DN	PF00071	0.66811	0.657	2.4822	136
RAB39B	LOF	PF00071				68
RAB3GAP1	LOF	PF19533	5.1538e-17	0.798	2.0402	0
RAB3GAP2	LOF	PF14656	0.00071117	0.535	1.9223	0
RAD21	LOF	PF04824	1.0	0.341	3.6539	2
RAD51	DN	PF14520	0.99531	0.467	3.6487	6
RAF1	GOF	PF00130	1.0	0.353	3.4281	35
RAI1	LOF	PF13771	1.0	0.129	2.4299	13
RAPSN	LOF	PF10579	6.3937e-10	1.092	0.095373	6
RARS1	LOF	PF03485	1.1875e-16	1.079	0.46413	1
RARS2	LOF	PF05746	1.92e-12	0.886	0.51421	1
RASA1	LOF	PF00168	1.0	0.3	3.6029	10
RAX	LOF	PF00046	0.00058285	1.197	-1.0259	64
RAX2	LOF	PF00046	0.05374	1.525	-1.2231	50
RB1	LOF	PF11934	1.0	0.239	2.32	2
RBP4	DN	PF00061	0.86966	0.575	0.86717	0
RDH12	LOF	PF00106	0.0011151	0.862	0.34929	25
RDH5	LOF	PF00106	7.1356e-11	1.3	1.0359	25
REEP6	LOF	PF03134	1.875e-06	1.342	-0.94465	5
RERE	LOF	PF03154	0.99882	0.459	0.18278	1
RET	LOF	PF00028	1.0	0.24	2.6933	53
RFT1	LOF	PF04506	3.3169e-09	0.894	0.77387	0
RGS9	LOF	PF00610	4.4956e-14	0.876	0.72257	23
RHO	LOF	PF00001	5.0269e-05	0.91	1.4439	31
RINT1	LOF	PF04437	3.8414e-15	0.931	0.92023	0
RIPK4	LOF	PF12796	0.62495	0.577	2.2992	1
RIT1	GOF	PF00071	0.96123	0.523	1.5009	35
